STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001128,-9999,-9999,0.00,0.0,0.0,50,39,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001129,-9999,-9999,0.00,0.0,0.0,-9999,35,38,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001130,-9999,-9999,0.24,0.0,0.0,-9999,32,32,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001201,-9999,-9999,0.11,0.0,0.0,37,29,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001202,-9999,-9999,0.00,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001203,-9999,-9999,0.00,0.0,0.0,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001204,-9999,-9999,0.00,0.0,0.0,-9999,11,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001205,-9999,-9999,0.00,0.0,0.0,42,11,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001206,-9999,-9999,0.00,0.0,0.0,45,20,21,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001207,-9999,-9999,0.00,0.0,0.0,27,16,24,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001208,-9999,-9999,0.00,0.0,0.0,30,16,16,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001209,-9999,-9999,0.15,2.0,2.0,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001210,-9999,-9999,0.00,2.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001211,-9999,-9999,0.00,0.0,0.0,-9999,-9999,34,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001212,-9999,-9999,0.04,0.0,0.0,49,34,49,-9999,-9999,-9999,1,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001213,-9999,-9999,0.00,0.0,0.0,51,12,16,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001214,-9999,-9999,0.46,0.0,5.2,31,16,31,-9999,1,-9999,-9999,1,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001215,-9999,-9999,0.12,0.0,0.0,34,21,22,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001216,-9999,-9999,0.00,0.0,0.0,-9999,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001217,-9999,-9999,1.03,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001218,-9999,-9999,2.00,0.0,0.0,61,27,27,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001219,-9999,-9999,0.00,0.0,0.0,35,20,23,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001220,-9999,-9999,0.30,3.0,2.5,37,23,26,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001221,-9999,-9999,0.00,3.0,0.0,29,15,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001222,-9999,-9999,0.06,3.0,1.0,30,19,24,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001223,-9999,-9999,0.00,-9999,0.0,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001224,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001225,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001226,-9999,-9999,0.00,3.0,0.0,-9999,4,12,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001227,-9999,-9999,0.00,2.0,0.0,24,12,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001228,-9999,-9999,0.00,2.0,0.0,29,16,16,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001229,-9999,-9999,0.00,2.0,0.0,18,12,15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20001231,-9999,-9999,0.60,8.0,7.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010201,-9999,-9999,0.00,4.0,0.0,51,30,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010202,-9999,-9999,0.00,3.0,0.0,44,26,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010203,-9999,-9999,0.00,-9999,0.0,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010204,-9999,-9999,0.00,-9999,0.0,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010205,-9999,-9999,0.00,2.0,0.0,-9999,-9999,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010206,-9999,-9999,0.84,15.0,13.0,39,27,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010207,-9999,-9999,0.00,12.0,0.0,39,29,34,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010208,-9999,-9999,0.00,10.0,0.0,38,23,27,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010209,-9999,-9999,0.15,8.0,0.0,40,27,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010210,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010211,-9999,-9999,0.00,-9999,0.0,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010212,-9999,-9999,0.00,-9999,0.0,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010213,-9999,-9999,0.05,4.0,0.3,-9999,-9999,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010214,-9999,-9999,0.00,4.0,0.0,42,25,28,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010215,-9999,-9999,0.12,3.0,0.0,40,28,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010216,-9999,-9999,0.00,3.0,0.0,39,21,24,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010217,-9999,-9999,0.22,2.0,0.0,35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010218,-9999,-9999,0.00,2.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010219,-9999,-9999,0.00,2.0,0.0,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010220,-9999,-9999,0.00,2.0,0.0,-9999,-9999,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010221,-9999,-9999,0.00,1.0,0.0,50,35,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010222,-9999,-9999,0.00,1.0,0.0,36,8,12,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010223,-9999,-9999,0.19,4.0,3.5,34,12,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010224,-9999,-9999,0.00,-9999,0.0,-9999,18,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010225,-9999,-9999,0.00,-9999,0.0,47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010226,-9999,-9999,0.60,2.0,0.0,-9999,-9999,38,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010227,-9999,-9999,0.00,1.0,0.0,39,25,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010228,-9999,-9999,0.00,0.0,0.0,40,21,22,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010301,-9999,-9999,0.00,0.0,0.0,27,16,18,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010302,-9999,-9999,0.00,0.0,0.0,29,18,19,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010303,-9999,-9999,0.00,0.0,0.0,-9999,19,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010304,-9999,-9999,0.00,0.0,0.0,35,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010305,-9999,-9999,0.35,2.0,1.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010306,-9999,-9999,0.09,12.0,10.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010307,-9999,-9999,0.40,14.0,2.0,31,24,25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010308,-9999,-9999,0.00,12.0,0.0,34,23,31,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010309,-9999,-9999,0.00,11.0,0.0,36,25,32,-9999,-9999,-9999,-9999,1,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010310,-9999,-9999,0.35,13.0,4.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010311,-9999,-9999,0.00,10.0,0.0,-9999,24,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010312,-9999,-9999,0.00,7.0,0.0,44,-9999,27,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010313,-9999,-9999,0.89,4.0,0.0,42,27,32,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010314,-9999,-9999,0.00,3.0,0.0,40,29,40,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010315,-9999,-9999,0.00,3.0,0.0,42,32,38,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010316,-9999,-9999,0.00,2.0,0.0,49,35,39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010317,-9999,-9999,0.00,-9999,0.0,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010318,-9999,-9999,0.00,-9999,0.0,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010319,-9999,-9999,0.00,1.0,0.0,-9999,-9999,35,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010320,-9999,-9999,0.00,1.0,0.0,47,30,39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010321,-9999,-9999,0.00,0.0,0.0,54,32,37,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010322,-9999,-9999,1.60,0.0,0.0,45,37,41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010323,-9999,-9999,0.10,0.0,0.0,42,33,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010324,-9999,-9999,0.00,0.0,0.0,41,36,39,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010325,-9999,-9999,0.03,0.0,0.0,47,26,29,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010326,-9999,-9999,0.00,0.0,0.0,39,23,27,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010327,-9999,-9999,0.20,3.0,2.5,32,18,22,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010328,-9999,-9999,0.00,0.0,0.0,34,22,30,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010329,-9999,-9999,0.00,0.0,0.0,41,26,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010330,-9999,-9999,1.07,0.0,0.0,44,32,34,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010331,-9999,-9999,1.32,0.0,0.0,38,33,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010401,-9999,-9999,0.00,0.0,0.0,41,32,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010402,-9999,-9999,0.00,0.0,0.0,38,31,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010403,-9999,-9999,0.00,0.0,0.0,42,29,33,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010404,-9999,-9999,0.00,0.0,0.0,47,30,34,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010405,-9999,-9999,0.00,0.0,0.0,51,32,42,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00068138,STORRS CT US,198.1,41.8,-72.25,20010406,-9999,-9999,0.00,0.0,0.0,57,36,41,-9999,-9999,-9999,-9999,-9999,-9999
